name,domain
saks fifth avenue,saks.com
michael kors,michaelkors.com
john lewis,johnlewispartnership.co.uk
brown university,brown.edu
jumbo supermarkten,jumbo.com
blackberry,blackberry.com
sony music entertainment,sonymusic.com
university of amsterdam,uva.nl
niit limited,niit.com
british gas,britishgas.co.uk
hyatt regency,
cmc ltd,cmcltd.com
georgetown university,georgetown.edu
express,express.com
itt technical institute,itt-tech.edu
sony electronics,sonyjobs.com
neiman marcus,neimanmarcus.com
teletech,ttec.nl
starcom,starcomww.com
discovery communications,discovery.com
ibm canada,
eastman kodak,kodak.com
albert heijn,ah.nl
university of waterloo,
edelman,edelman.com
waitrose,waitrose.com
next group plc,next.co.uk
j. walter thompson worldwide,jwt.com
achmea,achmea.nl
leo burnett,leoburnett.com
bearingpoint,bearingpoint.com
university of massachusetts amherst,umass.edu
cnn,cnn.com
sonda,sonda.com
devry university,devry.edu
"ann inc. (parent company of ann taylor, loft & lou & grey)",anninc.com
boy scouts of america,scouting.org
j.crew,jcrew.com
pricewaterhousecoopers,
qwest communications,
university of groningen,rug.nl
dairy queen,dairyqueen.com
vrije universiteit amsterdam,vu.nl
debenhams,debenhams.com
bloomingdale's,bloomingdales.com
tommy hilfiger,tommy.com
pier 1 imports,pier1.com
ims health,imshealth.com
sofitel luxury hotels and resorts,sofitel.com
gap inc./ banana republic,bananarepublic.com
tns,tnsglobal.com
gap,
vector marketing,vectormarketing.com
us census bureau,census.gov
hollister co.,hollisterco.com
dun & bradstreet,dnb.com
clifford chance llp,cliffordchance.com
oxfam,oxfam.org.uk
geek squad,geeksquad.com
itv,itvplc.com
sungard,sungard.com
club med,clubmed.com
urban outfitters,urbanoutfitters.com
"sears, roebuck and co.",sears.com
fnac,fnac.com
officemax,officemax.com
stream global services,stream.com
anthropologie,anthropologie.com
sun microsystems,sun.com
radioshack,radioshack.com
topshop topman,topshop.com
aeropostale,aeropostale.com
havas,havas.com
nortel,nortel.com
aol,aol.com
saatchi & saatchi,saatchi.com
mccann erickson,mccann.com
young & rubicam,yr.com
americorps,nationalservice.gov
kumon,kumon.com
kraft foods group,kraftfoodsgroup.com
halifax,halifax.co.uk
lehman brothers,lehman.com
israel defense forces,
blockbuster,blockbuster.com
circuit city,circuitcity.com
netflix,netflix.com
