Tweet_id,URL,registrar_name,ip_address,URL is alive,Geo co-ordinates,Location,Creation_date,Creation_time,image_url,Target
1566967200149569536,https://sugimoto.cyou/octavia.php\n\n185.255.120.27\n\n,Private,185.255.120.27,999,"(52.3824, 4.8995)","Amsterdam, Nederland",2022-09-06T01:51:08.000Z,2022-09-06T01:51:08.000Z,nan,Unknown
1566967869023420417,https://livertttss2.xyz/admin/delete_channel.php,NAMECHEAP INC,104.21.10.169,0,"(37.751, -97.822)","Kansas, United States",2022-09-06T01:53:47.000Z,2022-09-06T01:53:47.000Z,"[{""url"": ""https://pbs.twimg.com/media/Fb784eeWYAAcHO0.png"", ""type"": ""photo"", ""width"": 1280, ""height"": 800, ""media_key"": ""3_1566967767554744320""}, {""url"": ""https://pbs.twimg.com/media/Fb787DXXgAIQQF3.png"", ""type"": ""photo"", ""width"": 688, ""height"": 771, ""media_key"": ""3_1566967811817308162""}]",Unknown
1566968706093170690,https://livertttss2.xyz/admin/version.php,NAMECHEAP INC,172.67.146.32,0,"(37.751, -97.822)","Kansas, United States",2022-09-06T01:57:07.000Z,2022-09-06T01:57:07.000Z,"[{""type"": ""photo"", ""media_key"": ""3_1566968411581812738"", ""height"": 800, ""url"": ""https://pbs.twimg.com/media/Fb79d9qXkAIFVvd.png"", ""width"": 1280}, {""type"": ""photo"", ""media_key"": ""3_1566968606734393346"", ""height"": 771, ""url"": ""https://pbs.twimg.com/media/Fb79pUqXoAI5gg_.png"", ""width"": 688}]",Unknown
1566967869023420417,https://livertttss2.xyz/admin/delete_channel.php,NAMECHEAP INC,172.67.146.32,0,"(37.751, -97.822)","Kansas, United States",2022-09-06T01:53:47.000Z,2022-09-06T01:53:47.000Z,"[{""type"": ""photo"", ""media_key"": ""3_1566967767554744320"", ""height"": 800, ""url"": ""https://pbs.twimg.com/media/Fb784eeWYAAcHO0.png"", ""width"": 1280}, {""type"": ""photo"", ""media_key"": ""3_1566967811817308162"", ""height"": 771, ""url"": ""https://pbs.twimg.com/media/Fb787DXXgAIQQF3.png"", ""width"": 688}]",Unknown
